episode,steps,total_reward,final_score,hard_violations,coverage_shortage,time,epsilon,loss
317,200,168.00,-2629.00,194,98,111.6,0.300,0.0000
318,200,150.00,-2805.00,196,128,112.0,0.300,0.0000
319,200,32.00,-2726.00,193,119,112.3,0.300,0.0000
320,200,134.00,-2593.00,182,115,112.7,0.300,0.0000
321,200,-12.00,-2723.00,190,125,113.0,0.300,0.0000
322,200,-6.00,-2954.00,207,136,113.4,0.300,0.0000
323,200,53.00,-2820.00,183,158,113.7,0.300,0.0000
324,200,80.00,-2859.00,185,161,114.1,0.300,0.0000
325,200,-113.00,-2973.00,211,133,114.4,0.300,0.0000
326,200,31.00,-2842.00,197,135,114.8,0.300,0.0000
327,200,-18.00,-2555.00,173,128,115.1,0.300,0.0000
328,200,-44.00,-2864.00,202,132,115.6,0.300,0.0000
329,200,65.00,-2841.00,185,159,116.0,0.300,0.0000
330,200,36.00,-2823.00,192,142,116.3,0.300,0.0000
331,200,-36.00,-2846.00,194,142,116.7,0.300,0.0000
332,200,-11.00,-2871.00,217,103,117.0,0.300,0.0000
333,200,-70.00,-2889.00,205,127,117.3,0.300,0.0000
334,200,-31.00,-2675.00,201,94,117.7,0.300,0.0000
335,200,104.00,-2761.00,180,154,118.0,0.300,0.0000
336,200,83.00,-2919.00,200,146,118.4,0.300,0.0000
337,200,5.00,-2888.00,203,131,118.7,0.300,0.0000
338,200,-32.00,-2780.00,194,128,119.1,0.300,0.0000
339,200,5.00,-2862.00,195,144,119.4,0.300,0.0000
340,200,-16.00,-3007.00,229,104,119.8,0.300,0.0000
341,200,-2.00,-2935.00,208,130,120.1,0.300,0.0000
342,200,36.00,-2624.00,178,129,120.5,0.300,0.0000
343,200,25.00,-2823.00,201,123,120.9,0.300,0.0000
344,200,48.00,-2872.00,198,141,121.2,0.300,0.0000
345,200,-4.00,-2869.00,200,134,121.6,0.300,0.0000
346,200,-73.00,-2737.00,192,123,122.0,0.300,0.0000
347,200,129.00,-2805.00,191,140,122.3,0.300,0.0000
348,200,95.00,-2750.00,197,119,122.7,0.300,0.0000
349,200,187.00,-2756.00,172,167,123.0,0.300,0.0000
350,200,34.00,-2799.00,194,132,123.4,0.300,0.0000
351,200,141.00,-2730.00,197,110,123.7,0.300,0.0000
352,200,-34.00,-2945.00,210,129,124.1,0.300,0.0000
353,200,73.00,-2941.00,200,148,124.4,0.300,0.0000
354,200,-135.00,-2805.00,204,115,124.7,0.300,0.0000
355,200,30.00,-2875.00,195,144,125.1,0.300,0.0000
356,200,-34.00,-2767.00,198,117,125.5,0.300,0.0000
357,200,48.00,-2866.00,213,107,125.8,0.300,0.0000
358,200,58.00,-2657.00,174,143,126.1,0.300,0.0000
359,200,-38.00,-2807.00,191,140,126.5,0.300,0.0000
360,200,85.00,-2826.00,197,133,126.8,0.300,0.0000
361,200,-70.00,-2808.00,196,132,127.2,0.300,0.0000
362,200,-15.00,-2829.00,200,126,127.5,0.300,0.0000
363,200,-1.00,-2783.00,204,109,127.9,0.300,0.0000
364,200,43.00,-2897.00,175,189,128.2,0.300,0.0000
365,200,52.00,-2883.00,207,122,128.6,0.300,0.0000
366,200,55.00,-2783.00,210,96,128.9,0.300,0.0000
367,200,-89.00,-2849.00,192,150,129.3,0.300,0.0000
368,200,61.00,-2732.00,195,119,129.6,0.300,0.0000
369,200,13.00,-2887.00,216,108,130.0,0.300,0.0000
370,200,-129.00,-2992.00,224,110,130.3,0.300,0.0000
371,200,-6.00,-2672.00,170,154,130.7,0.300,0.0000
372,200,72.00,-2740.00,153,203,131.0,0.300,0.0000
373,200,6.00,-2728.00,211,87,131.4,0.300,0.0000
374,200,-29.00,-2879.00,206,125,131.7,0.300,0.0000
375,200,105.00,-2618.00,179,125,132.1,0.300,0.0000
376,200,-14.00,-2868.00,210,113,132.4,0.300,0.0000
377,200,-2.00,-2683.00,163,172,132.8,0.300,0.0000
378,200,74.00,-2815.00,201,119,133.1,0.300,0.0000
379,200,30.00,-2825.00,208,109,133.5,0.300,0.0000
380,200,119.00,-2608.00,187,108,133.8,0.300,0.0000
381,200,70.00,-2838.00,210,106,134.2,0.300,0.0000
382,200,110.00,-2555.00,177,115,134.5,0.300,0.0000
383,200,22.00,-2852.00,203,124,134.9,0.300,0.0000
384,200,112.00,-2782.00,203,112,135.2,0.300,0.0000
385,200,-19.00,-2961.00,218,117,135.6,0.300,0.0000
386,200,50.00,-2682.00,193,112,135.9,0.300,0.0000
387,200,-74.00,-2866.00,193,147,136.3,0.300,0.0000
388,200,-69.00,-2899.00,211,119,136.6,0.300,0.0000
389,200,2.00,-2946.00,221,107,137.0,0.300,0.0000
390,200,93.00,-2749.00,196,118,137.3,0.300,0.0000
391,200,72.00,-2775.00,188,139,137.7,0.300,0.0000
